"name","counts","id","artistart","song_names_list"
"LL COOL J",4,"1P8IfcNKwrkQP5xJWuhaOC","https://i.scdn.co/image/ab6761610000e5ebfdfbad2b88a64e661a6e6400","1.Hey Lover,2.Hey Lover,3.Mama Said Knock You Out,4.Hey Lover"
"Luther Vandross",4,"19y5MFBH7gohEdGwKM7QsP","https://i.scdn.co/image/ab6761610000e5ebc609e4ef97e896a2b32b1473","1.Evergreen,2.Have Yourself a Merry Little Christmas,3.If This World Were Mine,4.Here and Now"
"Missy Elliott",4,"2wIVse2owClT7go1WT98tk","https://i.scdn.co/image/ab6761610000e5ebf6691f40d906f097e9fbaa4c","1.One, Two Step (feat. Missy Elliot),2.Signs,3.Free Yourself,4.Oops (Oh My)"
"Monica",4,"6nzxy2wXs6tLgzEtqOkEi2","https://i.scdn.co/image/ab6761610000e5ebe511dad92fbc2626144a02a2","1.Breathe,2.Love All Over Me,3.The Boy Is Mine,4.Angel of Mine"
"Nicki Minaj",4,"0hCNtLu0JehylgoiP8L4Gh","https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd","1.Only,2.Hot Girl Summer,3.Itty Bitty Piggy ,4.MotorSport"
"Normani",4,"2cWZOOzeOm4WmBJRnD5R7I","https://i.scdn.co/image/ab6761610000e5ebdc6e85ec0f93f5b2cf475487","1.Motivation,2.Fair,3.Motivation,4.Body Count (Remix)"
"Panic! At The Disco",4,"20JZFwl6HVl6yg8a4H3ZqK","https://i.scdn.co/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2","1.Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,2.Don't Threaten Me with a Good Time,3.Vegas Lights,4.LA Devotee"
"Snoh Aalegra",4,"1A9o3Ljt67pFZ89YtPPL5X","https://i.scdn.co/image/ab6761610000e5eb04ae2067ae0171af5cbf1cf1","1.Find Someone Like You,2.LOST YOU,3.I Want You Around,4.Whoa"
"Stevie Wonder",4,"7guDJrEfX3qb6FEbdPA5qi","https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108","1.Happy Birthday,2.Happy Birthday,3.Happy Birthday,4.Happy Birthday"
"SWV",4,"2NmK5FyrQ18HOPXq1UBzqa","https://i.scdn.co/image/ab6761610000e5eb2c43fa54ddf21c961d2fd6c3","1.I'm So Into You,2.You're Always On My Mind,3.Weak,4.I'm So Into You"
"Tamia",4,"0le01dl1WllSHhjEXRl4in","https://i.scdn.co/image/ab6761610000e5ebcf35587ec242fd403b683687","1.Last First Kiss,2.So Into You,3.Can't Get Enough,4.Still"
"Tanerélle",4,"1r1n66Rkx4fzNCIUQhS6OH","https://i.scdn.co/image/ab6761610000e5eb8a001c2feae1f63ef2bc72c9","1.Nothing Without You,2.Good Good,3.Love from NGC 7318,4.Good Good"
"The Neighbourhood",4,"77SW9BnxLY8rJ0RciFqkHh","https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816","1.#icanteven,2.Afraid,3.Softcore,4.Void"
"The Notorious B.I.G.",4,"5me0Irg2ANcsgc93uaYrpb","https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f","1.Mo Money Mo Problems,2.Mo Money Mo Problems,3.One More Chance / Stay With Me,4.Notorious Thugs"
"6LACK",3,"4IVAbR2w4JJNJDDRFP3E83","https://i.scdn.co/image/ab6761610000e5ebf8e7a2d1a01fd98e43ee57dc","1.Pretty Little Fears,2.Imported,3.Free"
"Adele",3,"4dpARuHxo51G3z768sgnrY","https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17","1.Someone Like You,2.One And Only,3.Chasing Pavements"
"Anika Noni Rose",3,"4fqk0Vw0VrIY8O2eWtmQO2","https://i.scdn.co/image/ab67616d0000b2736ca3c9c2e80a6129806a76c9","1.Almost There,2.Almost There,3.Almost There"
"Aretha Franklin",3,"7nwUJBm0HE4ZxD3f5cy5ok","https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d","1.Bridge over Troubled Water ,2.O Christmas Tree,3.Ain't No Way"
"Ashanti",3,"5rkVyNGXEgeUqKkB5ccK83","https://i.scdn.co/image/ab6761610000e5eb1ebb81323a96e465ad20b932","1.Foolish,2.Unfoolish,3.Rain On Me"
"Beach Weather",3,"7I3bkknknQkIiatWiupQgD","https://i.scdn.co/image/ab6761610000e5eb5f316929b9b3b61a5edb8139","1.Swoon,2.Swoon,3.Sex, Drugs, Etc."
"Chris Brown",3,"7bXgB6jMjp9ATFy66eO08Z","https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728","1.Only,2.Come Through,3.Shortie Like Mine "
"Chrisette Michele",3,"3YJMzGjAm245zwJooY7PEj","https://i.scdn.co/image/ab6761610000e5eb16ab6495d46466c342b03298","1.A Couple Of Forevers,2.Your Joy,3.A Couple Of Forevers"
"Coco Jones",3,"4DHLoiIqFYYFjH09WduvFd","https://i.scdn.co/image/ab6761610000e5eb52a68e26dd9deacbbcd99f17","1.ICU,2.ICU,3.No Chaser"
"Deborah Cox",3,"601893mmW5hl1FBOykWZHG","https://i.scdn.co/image/ab6761610000e5eb18315d5c9578cb96626f41f0","1.We Can’t Be Friends,2.We Can’t Be Friends,3.We Can’t Be Friends"
"Destiny's Child",3,"1Y8cdNmUJH7yBTd9yOvr5i","https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76","1.Bills, Bills, Bills,2.Lose My Breath,3.Girl (slow/reverb)"
"Diana Ross",3,"3MdG05syQeRYPPcClLaUGl","https://i.scdn.co/image/ab6761610000e5ebdb59e1c017a93648b119f0cc","1.I'm Coming Out,2.I'm Coming Out,3.Ease On Down The Road #1 (The Wiz)"
"Ella Mai",3,"7HkdQ0gt53LP4zmHsL0nap","https://i.scdn.co/image/ab6761610000e5eb173a42b51755d3075d67831c","1.Own It,2.Boo'd Up,3.How"
"Frank Sinatra",3,"1Mxqyy3pSjf8kZZL4QVxS0","https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411","1.I'll Be Home For Christmas (If Only In My Dreams),2.Baby, It's Cold Outside,3.I've Got You Under My Skin"
"J. Cole",3,"6l3HvQ5sa6mXTsMTB19rO5","https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc","1.Pretty Little Fears,2.Kevin's Heart,3.All My Life"
"Jagged Edge",3,"7Aq8lpLMSt1Zxu56pe9bmp","https://i.scdn.co/image/ab6761610000e5eb2bb45e7d9626f2fec4b6465f","1.I Gotta Be,2.Let’s Get Married,3.Let’s Get Married"
"Jake & Papa",3,"0t8jcjbcfE79FcWSpIkGdR","https://i.scdn.co/image/ab6761610000e5eb140fd3e536b105589852870b","1.Do That There,2.All Night Long,3.Where the Wild Things Are"
"Jeremih",3,"3KV3p5EY4AvKxOlhGHORLg","https://i.scdn.co/image/ab6761610000e5eb8ddeab89a67542470e2631c8","1.Wet Dreamz,2.Birthday Sex,3.Dangerous "
"Jill Scott",3,"6AVLthptCPhfrxlHadOBJD","https://i.scdn.co/image/1523c231a2f7cb0c83ecf0b6e933e6033c8b38d6","1.The Way,2.He Loves Me (Lyzel in E Flat),3.Golden"
"Kiana Ledé",3,"7jZMxhsB8djyIbYmoiJSTs","https://i.scdn.co/image/ab6761610000e5eb0b615d9464bf651aa5b7d465","1.Protection.,2.I Choose You,3.I Choose You"
"Kool & The Gang",3,"3VNITwohbvU5Wuy5PC6dsI","https://i.scdn.co/image/ab6761610000e5eb69287c3f1b150bbead642499","1.Get Down On It,2.Celebration,3.Celebration"
"Lil' Kim",3,"5tth2a3v0sWwV1C7bApBdX","https://i.scdn.co/image/ab6761610000e5eb44f424402a1933b745019107","1.I Can Love You,2.Quiet Storm - Remix,3.Money, Power & Respect"
"Lloyd",3,"1Xfmvd48oOhEWkscWyEbh9","https://i.scdn.co/image/ab6761610000e5eb5de0901c4bcb8d0352b71c3f","1.You,2.Take It Low,3.BedRock"
"Metro Boomin",3,"0iEtIxbK0KxaSlF7G42ZOp","https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c","1.Overdue - Instrumental,2.Ric Flair Drip,3.Pull Up N Wreck "
"Mitski",3,"2uYWxilOVlUdk4oV9DvwqK","https://i.scdn.co/image/ab6761610000e5eb4bdb3888818637acb71c4a13","1.Pink in the Night,2.Blue Light,3.Pink in the Night"
"Nas",3,"20qISvAhX20dpIbOOzGK3q","https://i.scdn.co/image/ab6761610000e5eb153198caeef9e3bda92f9285","1.SUN GOES DOWN,2.Shootouts,3.Phone Tap,4.Ether"
"Ne-Yo",3,"21E3waRsmPlU7jZsS13rcj","https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537","1.Miss Independent,2.Say It,3.Make Me Better"
"Outlawz",3,"2jp3Fk52x0HbymU0lNYbSC","https://i.scdn.co/image/ab6761610000e5eb6c0bf02007c6dee703ab3c45","1.Hit 'Em Up,2.Hit 'Em Up,3.Hit 'Em Up"
"R.L.",3,"4iwJZqoo4TmCIiISdHdhbQ","https://i.scdn.co/image/ab67616d0000b2737a75d7f0ea4f15094fdf944e","1.We Can’t Be Friends,2.We Can’t Be Friends,3.We Can’t Be Friends"
